Question,Answer,Difficulty,Options
What is 5 + 3?,8,Easy,"['8', 'ln(5)', '8/3', '19']"
What is 12 - 4?,8,Easy,"['8', '3', '180', '42']"
What is 7 * 6?,42,Easy,"['42', '3', '(-b ± √(b^2 - 4ac))/(2a)', 'cos(x)']"
What is 16 / 4?,4,Easy,"['15', '0.5', '4', '19']"
What is the square root of 25?,5,Easy,"['42', '2.72', '19', '5']"
What is 10^2?,100,Easy,"['8', '7', '100', '-1']"
What is 8 + 7?,15,Easy,"['15', '1.618', '5', '8']"
What is 14 - 9?,5,Easy,"['120', '(-b ± √(b^2 - 4ac))/(2a)', '1', '5']"
What is 5 * 5?,25,Easy,"['25', '5050', '7', '8']"
What is 49 / 7?,7,Easy,"['42', '7', '1', '27']"
What is the value of pi to two decimal places?,3.14,Easy,"['2x', 'cos(x)', '3.14', '[[-2, 1], [1.5, -0.5]]']"
What is 3^3?,27,Easy,"['51', 'e^x + C', '7', '27']"
What is 15 / 3?,5,Easy,"['8', '(-b ± √(b^2 - 4ac))/(2a)', '5', '[[-2, 1], [1.5, -0.5]]']"
What is 6 * 7?,42,Easy,"['42', '11', '7', '28']"
What is the sum of angles in a triangle?,180 degrees,Easy,"['180 degrees', '19', '11', 'a^2 + b^2 = c^2']"
What is the next prime number after 7?,11,Easy,"['1 + x + x^2/2 + x^3/6 + ...', '(-b ± √(b^2 - 4ac))/(2a)', '11', '-1']"
What is 9 + 10?,19,Easy,"['2.72', '3', '19', '100']"
What is 100 - 45?,55,Easy,"['15', '19', '55', '[[-2, 1], [1.5, -0.5]]']"
What is 25 / 5?,5,Easy,"['25', '4', '1', '5']"
What is 36 + 64?,100,Easy,"['-2', '-1', '100', '27']"
What is the derivative of x^2?,2x,Medium,"['-2', '0.5', '2x', '11']"
What is the integral of 2x?,x^2 + C,Medium,"['180 degrees', '2x', '1/s', 'x^2 + C']"
What is the value of sin(30 degrees)?,0.5,Medium,"['0.5', '-1', '5', '55']"
Solve for x: 2x + 3 = 7,2,Medium,"['180', '1 + x + x^2/2 + x^3/6 + ...', '2', 'x^2 + C']"
What is the area of a circle with radius 3?,28.27,Medium,"['7', '28.27', '1/s', '(2, 0)']"
What is the sum of the first 10 natural numbers?,55,Medium,"['1 + x + x^2/2 + x^3/6 + ...', '51', '5050', '55']"
What is 12 * 15?,180,Medium,"['180', '51', '4', '(-b ± √(b^2 - 4ac))/(2a)']"
What is the value of cos(90 degrees)?,0,Medium,"['0', '180', '2.72', '5']"
What is the quadratic formula?,(-b ± √(b^2 - 4ac))/(2a),Medium,"['2.72', '(-b ± √(b^2 - 4ac))/(2a)', '55', 'cos(x)']"
What is the logarithm base 10 of 1000?,3,Medium,"['3', '28.27', 'cos(x)', 'a^2 + b^2 = c^2']"
Solve for y: 3y - 2 = 7,3,Medium,"['1 + x + x^2/2 + x^3/6 + ...', '3', '11', '(2, 0)']"
What is the formula for the circumference of a circle?,2πr,Medium,"['2.72', '2πr', 'a^2 + b^2 = c^2', '(2, 0)']"
What is 8 * 7 - 5?,51,Medium,"['51', '-1', '1/x', 'x^2 + C']"
What is the sum of the first 5 prime numbers?,28,Medium,"['19', '51', '28.27', '28']"
What is the value of tan(45 degrees)?,1,Medium,"['0', '1', '[[-2, 1], [1.5, -0.5]]', 'a^2 + b^2 = c^2']"
What is the area of a rectangle with length 5 and width 3?,15,Medium,"['15', '8', '5', 'x^2 + C']"
Solve for x: x^2 - 4 = 0,2,Medium,"['5050', '1 + x + x^2/2 + x^3/6 + ...', '2', '-2']"
What is the value of e (Euler's number) to two decimal places?,2.72,Medium,"['180 degrees', 'e^x + C', '2.72', '7']"
What is the Pythagorean theorem?,a^2 + b^2 = c^2,Medium,"['5050', '27', '[[-2, 1], [1.5, -0.5]]', 'a^2 + b^2 = c^2']"
What is the factorial of 5?,120,Medium,"['2', '120', '3.14', '2πr']"
What is the derivative of sin(x)?,cos(x),Hard,"['ln(5)', '3.14', '19', 'cos(x)']"
What is the integral of e^x?,e^x + C,Hard,"['1.618', 'e^x + C', '-1', '2πr']"
What is the value of ln(1)?,0,Hard,"['0', '-1', '25', '(2, 0)']"
Solve for x: x^2 + 4x + 4 = 0,-2,Hard,"['-2', '3', '28', '27']"
What is the area under the curve y = x^2 from x = 0 to x = 2?,8/3,Hard,"['e^x + C', '(-b ± √(b^2 - 4ac))/(2a)', '8/3', '2πr']"
What is the solution to the system of equations: 2x + 3y = 6 and x - y = 2?,"(2, 0)",Hard,"['42', '180 degrees', '28.27', '(2, 0)']"
"What is the determinant of a 2x2 matrix [[2, 3], [1, 4]]?",5,Hard,"['1 + x + x^2/2 + x^3/6 + ...', '1', '0', '5']"
What is the sum of the infinite geometric series 1 + 1/2 + 1/4 + 1/8 + ...?,2,Hard,"['0', '(4/3)πr^3', '2', '11']"
What is the derivative of ln(x)?,1/x,Hard,"['1 + x + x^2/2 + x^3/6 + ...', '1/x', '0', 'cos(x)']"
What is the Taylor series expansion of e^x at x=0?,1 + x + x^2/2 + x^3/6 + ...,Hard,"['1 + x + x^2/2 + x^3/6 + ...', 'x^2 + C', '28', '27']"
What is the value of cos(pi)?,-1,Hard,"['-1', '28.27', '11', '1/s']"
Solve for x: e^x = 5,ln(5),Hard,"['180 degrees', 'ln(5)', '11', '3.14']"
What is the formula for the volume of a sphere?,(4/3)πr^3,Hard,"['28', 'ln(5)', '(4/3)πr^3', '1/s']"
What is the value of sinh(0)?,0,Hard,"['0', '1/x', '2', '25']"
What is the value of 0! (zero factorial)?,1,Hard,"['5050', '1/x', '1', '120']"
What is the Laplace transform of 1?,1/s,Hard,"['2x', '2.72', '-1', '1/s']"
"What is the inverse of the matrix [[1, 2], [3, 4]]?","[[-2, 1], [1.5, -0.5]]",Hard,"['25', '19', '(2, 0)', '[[-2, 1], [1.5, -0.5]]']"
What is the sum of the series 1 + 2 + 3 + ... + 100?,5050,Hard,"['5050', '1.618', 'e^x + C', '2.72']"
What is the solution to the equation x^3 - 3x + 2 = 0?,1,Hard,"['51', '1', '11', '3.14']"
What is the value of the golden ratio?,1.618,Hard,"['1.618', '2.72', '7', '2']"
